player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
293,25-26-prem-manchester-united-vs-everton,80,0,0,0,0.0,0.0,0,0,0,0,37,15,0.0,0.0,4,0,0.0,3,0.0,0,0,3,0,6,4,0,5,0,0,0.0,5,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,25-26-prem-manchester-united-vs-everton,90,0,0,3,0.4,0.29,1,0,0,5,82,61,0.0,1.0,6,1,0.0,1,0.0,0,2,3,1,4,1,0,5,5,1,0.0,4,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.68,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,25-26-prem-manchester-united-vs-everton,87,0,0,0,0.0,0.02,0,0,0,1,36,18,0.0,0.0,2,0,0.0,1,0.0,0,0,4,0,1,1,0,5,4,5,0.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,25-26-prem-manchester-united-vs-everton,58,0,0,1,0.12,0.02,0,0,1,2,40,18,0.0,1.0,1,0,0.0,0,0.0,0,0,2,0,2,1,0,2,5,2,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,25-26-prem-manchester-united-vs-everton,58,0,0,2,0.08,0.1,0,0,0,1,58,42,0.0,1.0,9,0,0.0,2,0.0,0,0,3,0,0,0,0,3,4,2,0.0,1,0.0,2,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,25-26-prem-manchester-united-vs-everton,10,0,0,0,0.0,0.0,0,0,0,0,6,4,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,1,1,1,0,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
733,25-26-prem-manchester-united-vs-everton,90,0,0,0,0.0,0.0,0,0,0,0,25,14,0.0,0.0,0,0,0.0,1,0.0,0,0,4,0,1,0,0,1,0,1,0.0,0,0.0,0,0,0,1,0.42,-0.58,1,14,1,0.0,1,0,0,0,0.0,0.0,0.0,1,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,25-26-prem-manchester-united-vs-everton,45,0,0,3,0.12,0.19,0,0,0,6,34,19,0.0,1.0,0,0,0.0,1,0.0,0,0,3,0,0,0,0,1,3,1,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,25-26-prem-manchester-united-vs-everton,45,0,0,0,0.0,0.01,0,0,0,1,37,28,0.0,0.0,5,0,0.0,1,0.0,0,1,5,0,1,1,1,0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,25-26-prem-manchester-united-vs-everton,32,0,0,0,0.0,0.12,0,0,0,5,27,17,0.0,1.0,2,1,0.0,0,0.0,0,0,1,0,0,0,0,0,3,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,25-26-prem-manchester-united-vs-everton,13,0,0,0,0.0,0.02,0,0,0,0,11,7,0.0,0.0,1,0,0.0,0,0.0,0,1,2,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,25-26-prem-manchester-united-vs-everton,3,0,0,0,0.0,0.0,0,0,0,0,3,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0,1,1,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,25-26-prem-manchester-united-vs-everton,9,0,0,0,0.0,0.0,0,0,0,0,9,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,2,0,0,1,5,0,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
